name,content,codec,cls,res,qp,frame,crop_id,rep,judge,prompt,mos,ci,score,artifact,justification,model_version
bigbuckbunny_av1_1280x720_q61,bigbuckbunny,av1,traditional,1280x720,q61,200,0,1,gemini,anchored,2.269230769230769,0.2563076923076923,45.0,texture-blur,The fine details of the grass blades and small purple flowers are heavily blurred and lost in the reconstructed image.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q61,bigbuckbunny,av1,traditional,1280x720,q61,200,0,0,gemini,anchored,2.269230769230769,0.2563076923076923,45.0,texture-blur,The fine details of the grass blades and small purple flowers are heavily blurred and lost in the reconstructed image.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q48,bigbuckbunny,av1,traditional,1280x720,q48,200,0,1,gemini,anchored,3.1153846153846154,0.22615384615384615,92.0,texture-blur,There is a very slight loss of detail and definition in the soft green leaves compared to the reference.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q48,bigbuckbunny,av1,traditional,1280x720,q48,400,0,0,gemini,anchored,3.1153846153846154,0.22615384615384615,45.0,texture-blur,The fine fur texture on the tail is heavily blurred and loses its individual hair details.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q48,bigbuckbunny,av1,traditional,1280x720,q48,400,0,1,gemini,anchored,3.1153846153846154,0.22615384615384615,45.0,texture-blur,The fine fur texture on the tail is heavily blurred and loses its individual hair details.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q48,bigbuckbunny,av1,traditional,1280x720,q48,400,0,2,gemini,anchored,3.1153846153846154,0.22615384615384615,45.0,texture-blur,The fine fur texture on the tail is heavily blurred and loses its individual hair details.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q48,bigbuckbunny,av1,traditional,1280x720,q48,200,0,0,gemini,anchored,3.1153846153846154,0.22615384615384615,92.0,texture-blur,There is a very slight loss of detail and definition in the soft green leaves compared to the reference.,gemini-3.5-flash
bigbuckbunny_av1_1920x1080_q36,bigbuckbunny,av1,traditional,1920x1080,q36,200,0,0,gemini,anchored,4.538461538461538,0.1954192579827601,85.0,texture-blur,The reconstructed crop shows a slight loss of fine texture on the tree bark and the animal's ear.,gemini-3.5-flash
bigbuckbunny_av1_1920x1080_q36,bigbuckbunny,av1,traditional,1920x1080,q36,200,0,1,gemini,anchored,4.538461538461538,0.1954192579827601,85.0,texture-blur,The reconstructed crop shows a slight loss of fine texture on the tree bark and the animal's ear.,gemini-3.5-flash
bigbuckbunny_av1_1280x720_q61,bigbuckbunny,av1,traditional,1280x720,q61,400,0,0,gemini,anchored,2.269230769230769,0.2563076923076923,35.0,texture-blur,The fine texture and vertical ridges of the rock surface are heavily blurred and smoothed out in the reconstructed image.,gemini-3.5-flash
